Region,Registered Voters,Age Group 18-19,Age Group 20-24,Age Group 25-29,Age Group 30-34,Age Group 35-39,Age Group 40-44,Age Group 45-49,Age Group 50-54,Age Group 55-59,Age Group  60+
Philippines,61843750,2349118,7729410,8768702,7415553,6655556,5840758,5277267,4658232,4007088,9142066
NCR,7074603,153276,781707,952257,857100,818301,718700,648700,568340,487665,1088557
CAR,1013418,35399,121362,150984,128756,109175,91077,81072,74714,66607,154272
Region 1,3331394,147063,412427,453096,383274,351728,301557,276603,248329,218355,538962
Region 2,2194418,84745,269928,311476,256898,229029,204555,187252,167370,152066,331099
Region 3,6829661,226939,816231,931245,812671,753679,666767,610071,545133,456737,1010188
Region 4A,8674351,257875,1029066,1198174,1068939,1019616,887521,772278,668807,561045,1211030
Region 4B,1831328,77329,239513,264095,221609,194449,172396,154348,133990,115049,258550
Region 5,3647711,197593,513795,516801,416242,362101,322983,290239,264347,224540,539070
Region 6,4808839,198044,586866,652538,543992,483470,425879,396249,366067,329221,826513
Region 7,4946354,206355,629112,706395,595103,520146,448132,404891,356145,314778,765297
Region 8,3051649,165496,438394,426218,337116,290085,261984,239840,215766,188331,488419
Region 9,2193033,93195,287197,321617,264687,225414,202837,184349,162942,140547,310248
Region 10,2855792,121584,365291,411273,349444,296097,263415,237942,212029,186010,412707
Region 11,3026393,98714,356616,438084,398848,337600,293381,262101,227071,194881,419097
Region 12,2431265,89805,306653,356670,311593,267987,240634,213414,184471,149461,310577
CARAGA,1760132,91002,237663,254823,211862,175474,153099,141273,127737,111706,255493
ARMM,2172959,104704,337589,422956,257419,221205,185841,176195,134974,110089,221987